User_Login,User_Code,Up_To_Semester,Term_ID,Major_ID,Campus,Total_Fail
hieubsph06806,PH06806,2,26,3,ph,5
cuongdtph06823,PH06823,2,24,1,ph,0
giangkhph06825,PH06825,2,26,14,ph,1
anhptdph06828,PH06828,2,24,1,ph,0
anhnvtph06829,PH06829,2,28,7,ph,6
hieptdph06832,PH06832,2,26,1,ph,1
thanglvph06835,PH06835,2,24,3,ph,1
anhldph06840,PH06840,2,24,14,ph,0
quanvtph06842,PH06842,2,24,3,ph,1
minhndph06847,PH06847,2,26,14,ph,1
anhlhph06848,PH06848,2,26,14,ph,1
dungdvph06850,PH06850,2,26,14,ph,2
xuanttph06854,PH06854,2,24,1,ph,0
thaitph06858,PH06858,2,24,3,ph,0
minhndph06860,PH06860,2,26,3,ph,1
tunkph06861,PH06861,2,24,1,ph,0
huettph06862,PH06862,2,24,1,ph,0
dinhtvph06865,PH06865,2,24,14,ph,0
tuandmph06869,PH06869,2,24,14,ph,0
longhdph06871,PH06871,2,24,14,ph,0
chuongdtph06876,PH06876,2,24,3,ph,0
luongddph06879,PH06879,2,26,1,ph,0
thuyptph06881,PH06881,2,24,1,ph,0
oanhptph06883,PH06883,2,26,1,ph,5
luongntcph06889,PH06889,2,24,1,ph,0
huongltph06890,PH06890,2,24,1,ph,0
vulaph06891,PH06891,2,24,1,ph,0
hieuvmph06897,PH06897,2,24,1,ph,1
truongnqph06901,PH06901,2,24,3,ph,0
minhnxph06906,PH06906,2,24,1,ph,0
toanpvph06911,PH06911,2,24,3,ph,0
quyttph06926,PH06926,2,27,14,ph,2
anhmtph06928,PH06928,2,26,14,ph,6
hungnlph06932,PH06932,2,26,14,ph,0
thuanlbph06934,PH06934,2,26,3,ph,0
anhdtph06935,PH06935,2,26,14,ph,3
chienptph06936,PH06936,2,26,14,ph,0
cuongvdph06938,PH06938,2,26,3,ph,0
hunglxph06939,PH06939,2,27,1,ph,1
trungpqph06940,PH06940,2,27,14,ph,1
hauhdph06941,PH06941,2,27,14,ph,4
thanhntph06946,PH06946,2,26,1,ph,0
cuongtmph06947,PH06947,2,26,3,ph,1
linhtvph06950,PH06950,2,26,14,ph,0
tuanlaph06955,PH06955,2,26,3,ph,0
anhncph06958,PH06958,2,27,14,ph,2
bachdqph06959,PH06959,2,26,1,ph,0
vannthph06964,PH06964,2,26,1,ph,0
trungptph06967,PH06967,2,26,1,ph,0
namnngph06970,PH06970,2,26,1,ph,0
tungndph06971,PH06971,2,27,3,ph,5
thumvph06974,PH06974,2,27,14,ph,1
thanhdvph06975,PH06975,2,26,1,ph,0
khanhndph06979,PH06979,2,26,14,ph,0
quangnmph06981,PH06981,2,27,14,ph,2
haondph06982,PH06982,2,26,3,ph,0
thaidhph06986,PH06986,2,26,1,ph,0
thanhntph06988,PH06988,2,26,1,ph,0
quangndph06990,PH06990,2,26,1,ph,0
phuocthph06991,PH06991,2,26,3,ph,0
phuocvdph06996,PH06996,2,26,1,ph,0
sonltph06997,PH06997,2,27,14,ph,12
datnkph06998,PH06998,2,27,1,ph,7
quyennxph07000,PH07000,2,27,14,ph,4
tulsph07001,PH07001,2,27,1,ph,2
phucttph07004,PH07004,2,26,3,ph,0
hoanglvph07005,PH07005,2,27,1,ph,4
thinhndph07008,PH07008,2,26,14,ph,0
quyetkdph07009,PH07009,2,26,1,ph,0
trungvtph07014,PH07014,2,26,1,ph,1
trungdvph07018,PH07018,2,27,1,ph,8
hoangvvph07025,PH07025,2,27,14,ph,1
quanvaph07033,PH07033,2,26,3,ph,0
lichtdph07034,PH07034,2,34,3,ph,4
thangncph07036,PH07036,2,27,1,ph,1
thangptph07047,PH07047,2,27,14,ph,2
tuanpcph07051,PH07051,2,27,1,ph,2
binhvttph07052,PH07052,2,26,14,ph,0
hoantkph07054,PH07054,2,27,1,ph,7
sonnnph07057,PH07057,2,26,1,ph,0
hauntph07061,PH07061,2,26,1,ph,0
tuyenpvph07063,PH07063,2,26,14,ph,10
hungddph07064,PH07064,2,27,14,ph,1
anhhtph07069,PH07069,2,26,1,ph,1
chinhtvph07075,PH07075,2,27,14,ph,3
giangdtph07076,PH07076,2,26,14,ph,0
thanhttph07077,PH07077,2,26,1,ph,0
quyenhaph07083,PH07083,2,26,14,ph,8
hieuncph07084,PH07084,2,26,1,ph,4
hungtvph07085,PH07085,2,26,3,ph,1
anhnvph07086,PH07086,2,27,3,ph,0
huyhtph07087,PH07087,2,27,3,ph,0
ducnaph07089,PH07089,2,28,1,ph,1
nguyetntph07092,PH07092,2,28,14,ph,2
cuongvmph07095,PH07095,2,28,3,ph,5
linhpqph07099,PH07099,2,27,1,ph,0
diennvph07101,PH07101,2,27,1,ph,0
kiendvph07103,PH07103,2,28,1,ph,4
hungtmph07108,PH07108,2,28,14,ph,3
hocntph07110,PH07110,2,27,1,ph,3
hungnmph07114,PH07114,2,27,1,ph,0
duynkph07116,PH07116,2,27,3,ph,0
nhungptph07117,PH07117,2,28,3,ph,1
hungtdph07120,PH07120,2,28,1,ph,4
hongtpph07122,PH07122,2,27,1,ph,0
vuongndph07126,PH07126,2,27,14,ph,1
vinhvqph07128,PH07128,2,27,3,ph,0
vinhnkph07129,PH07129,2,28,1,ph,6
anhctph07130,PH07130,2,27,3,ph,1
conghtph07131,PH07131,2,27,3,ph,0
quannvph07132,PH07132,2,28,1,ph,1
quangnvph07133,PH07133,2,28,1,ph,4
hoangnvph07134,PH07134,2,28,1,ph,2
thuynvph07135,PH07135,2,27,1,ph,1
duongdhph07137,PH07137,2,27,1,ph,0
lamntph07140,PH07140,2,27,14,ph,0
dinhnvph07143,PH07143,2,28,14,ph,3
hoangdhph07144,PH07144,2,27,3,ph,6
tanlkph07147,PH07147,2,27,1,ph,0
tinhddph07152,PH07152,2,27,1,ph,0
anhnnph07162,PH07162,2,28,14,ph,4
minhdnph07164,PH07164,2,28,3,ph,1
anhltph07170,PH07170,2,27,1,ph,0
namlvph07173,PH07173,2,28,1,ph,1
anhnhph07174,PH07174,2,27,3,ph,0
ductnph07175,PH07175,2,28,14,ph,2
ducpmph07177,PH07177,2,28,14,ph,2
tuannvph07178,PH07178,2,27,14,ph,0
loanhttph07179,PH07179,2,28,14,ph,2
toanptph07187,PH07187,2,27,1,ph,0
hieudvph07188,PH07188,2,27,1,ph,0
linhpqph07189,PH07189,2,28,1,ph,1
thanhndph07191,PH07191,2,28,1,ph,1
thangpxph07193,PH07193,2,27,14,ph,1
anhnndph07195,PH07195,2,30,23,ph,2
trangdqtph07202,PH07202,2,27,1,ph,0
huylqph07203,PH07203,2,27,1,ph,0
daonvph07206,PH07206,2,27,14,ph,0
daidnph07207,PH07207,2,29,7,ph,5
ducpnph07209,PH07209,2,27,1,ph,2
hangpvph07211,PH07211,2,28,3,ph,7
vietddph07213,PH07213,2,28,1,ph,1
hoangnvph07214,PH07214,2,28,3,ph,4
thanhndtph07217,PH07217,2,28,14,ph,5
duybvph07219,PH07219,2,28,14,ph,2
sonntph07222,PH07222,2,28,1,ph,1
tienlttph07223,PH07223,2,28,3,ph,1
tuanmdaph07233,PH07233,2,27,1,ph,0
tuannhph07234,PH07234,2,27,1,ph,0
anhttph07235,PH07235,2,28,3,ph,1
tulhph07236,PH07236,2,27,3,ph,0
hieuntph07237,PH07237,2,28,1,ph,4
hoangdvph07241,PH07241,2,27,14,ph,4
hahmph07244,PH07244,2,28,1,ph,2
namntph07245,PH07245,2,27,14,ph,0
quangtdph07246,PH07246,2,28,3,ph,8
loanltmph07248,PH07248,2,28,14,ph,1
quannvph07250,PH07250,2,27,14,ph,0
tiennmph07252,PH07252,2,28,3,ph,1
tuyentvph07253,PH07253,2,28,1,ph,3
hungndph07257,PH07257,2,28,3,ph,2
huongdttph07261,PH07261,2,28,14,ph,1
tuyenpvph07265,PH07265,2,27,14,ph,3
tuannmph07266,PH07266,2,28,1,ph,1
namlvph07267,PH07267,2,28,1,ph,1
longhtph07271,PH07271,2,27,3,ph,2
hungdnph07273,PH07273,2,28,3,ph,1
sontcph07277,PH07277,2,27,3,ph,1
trungncph07283,PH07283,2,28,1,ph,4
binhtbph07285,PH07285,2,27,14,ph,0
thangdqph07297,PH07297,2,28,3,ph,1
vuhvph07302,PH07302,2,28,1,ph,1
phucnvph07307,PH07307,2,27,3,ph,0
quangdhph07309,PH07309,2,27,3,ph,0
namndph07316,PH07316,2,28,14,ph,4
haihltph07324,PH07324,2,28,14,ph,3
phucnhph07325,PH07325,2,28,14,ph,4
dungntph07326,PH07326,2,28,3,ph,1
phupdph07329,PH07329,2,28,14,ph,1
sonthph07331,PH07331,2,30,7,ph,5
trungdtph07333,PH07333,2,28,3,ph,1
mailvph07340,PH07340,2,27,14,ph,0
tannvph07341,PH07341,2,27,14,ph,0
dungbmph07343,PH07343,2,28,14,ph,4
huytdph07358,PH07358,2,27,14,ph,0
khaipvph07362,PH07362,2,27,3,ph,0
vinhnbph07366,PH07366,2,27,3,ph,0
ducntph07371,PH07371,2,27,3,ph,0
minhnhph07372,PH07372,2,27,3,ph,0
quangnmph07375,PH07375,2,28,3,ph,1
kieuphph07378,PH07378,2,27,3,ph,0
giangntph07381,PH07381,2,27,14,ph,0
namntph07384,PH07384,2,28,3,ph,1
tungbtph07386,PH07386,2,27,3,ph,3
thuyntph07387,PH07387,2,28,3,ph,1
longhbph07396,PH07396,2,27,14,ph,0
truongtxph07400,PH07400,2,28,14,ph,1
quangtnph07408,PH07408,2,27,14,ph,9
hoangdvph07415,PH07415,2,27,14,ph,0
nambvph07421,PH07421,2,27,3,ph,0
duyckph07424,PH07424,2,27,3,ph,0
dungtdph07431,PH07431,2,28,14,ph,3
hungnqph07434,PH07434,2,27,14,ph,0
dathtph07435,PH07435,2,28,3,ph,1
thaotbph07436,PH07436,2,27,3,ph,0
tiennnph07439,PH07439,2,27,14,ph,0
nambdph07444,PH07444,2,27,14,ph,0
thachnvph07445,PH07445,2,27,14,ph,0
huylvph07453,PH07453,2,27,14,ph,0
thanglvph07454,PH07454,2,28,3,ph,1
linhtqph07455,PH07455,2,28,3,ph,3
hieulmph07458,PH07458,2,27,14,ph,0
hoannhph07465,PH07465,2,28,14,ph,2
thanhnvph07471,PH07471,2,27,3,ph,0
sontcph07485,PH07485,2,27,14,ph,0
tulaph07486,PH07486,2,27,14,ph,4
datnvph07488,PH07488,2,28,3,ph,1
hoangddph07490,PH07490,2,27,3,ph,0
haidmph07500,PH07500,2,27,14,ph,0
dungnvph07501,PH07501,2,28,3,ph,1
phuntph07504,PH07504,2,27,14,ph,0
longnvph07505,PH07505,2,27,3,ph,0
hungndph07506,PH07506,2,27,14,ph,0
trungndph07517,PH07517,2,27,14,ph,0
maidtph07521,PH07521,2,28,14,ph,1
sonpxph07530,PH07530,2,28,14,ph,1
hieuptph07533,PH07533,2,27,3,ph,0
khaitqph07541,PH07541,2,28,3,ph,4
tinhlvph07542,PH07542,2,28,3,ph,1
hoangldph07550,PH07550,2,27,14,ph,0
cuongncph07551,PH07551,2,27,3,ph,0
doannvph07556,PH07556,2,27,1,ph,0
hoangtvph07558,PH07558,2,27,1,ph,0
haittph07560,PH07560,2,28,1,ph,1
vinhnqph07561,PH07561,2,28,3,ph,1
quanglxph07563,PH07563,2,27,3,ph,0
ngocntph07564,PH07564,2,28,1,ph,3
hangntvph07567,PH07567,2,27,1,ph,2
xuanntph07568,PH07568,2,27,3,ph,1
phuongltph07569,PH07569,2,28,1,ph,1
dungvtph07571,PH07571,2,28,14,ph,1
tunglvph07572,PH07572,2,28,1,ph,2
dungbcph07574,PH07574,2,27,1,ph,0
thanhlbph07576,PH07576,2,28,1,ph,2
truongntph07580,PH07580,2,28,1,ph,1
anlqnph07584,PH07584,2,27,3,ph,0
dungpmph07585,PH07585,2,27,3,ph,1
longnvph07586,PH07586,2,28,3,ph,2
ducdmph07587,PH07587,2,27,14,ph,0
lamahph07595,PH07595,2,27,14,ph,0
hungnmph07597,PH07597,2,27,14,ph,0
manhnsph07598,PH07598,2,27,1,ph,0
anhvdph07601,PH07601,2,28,1,ph,2
thanhnvph07603,PH07603,2,27,14,ph,0
thanhnhph07604,PH07604,2,27,14,ph,0
dungavph07607,PH07607,2,27,1,ph,0
duhqph07610,PH07610,2,27,14,ph,0
anhntph07618,PH07618,2,27,1,ph,0
bachlxph07619,PH07619,2,28,1,ph,5
vinhntph07621,PH07621,2,27,3,ph,0
baclvph07622,PH07622,2,28,1,ph,1
quangbvph07624,PH07624,2,27,14,ph,0
thanhnbph07628,PH07628,2,27,3,ph,0
hieunmph07637,PH07637,2,27,1,ph,3
phongpcph07638,PH07638,2,28,3,ph,2
thaiphph07639,PH07639,2,27,14,ph,0
manhndph07640,PH07640,2,28,3,ph,1
ninhdvph07642,PH07642,2,28,3,ph,1
truongnxph07646,PH07646,2,27,14,ph,0
hangntph07648,PH07648,2,27,3,ph,0
truongbxph07651,PH07651,2,27,14,ph,0
dungdaph07652,PH07652,2,28,14,ph,4
manhndph07653,PH07653,2,27,3,ph,0
sonntph07654,PH07654,2,28,1,ph,1
annmph07655,PH07655,2,28,1,ph,6
toandvph07656,PH07656,2,28,1,ph,2
haintph07657,PH07657,2,30,14,ph,6
tunhph07665,PH07665,2,28,3,ph,4
huanvdph07667,PH07667,2,28,1,ph,1
namnpph07668,PH07668,2,28,3,ph,3
hoangnhph07670,PH07670,2,28,14,ph,9
duongndph07673,PH07673,2,27,1,ph,0
huanptph07674,PH07674,2,28,3,ph,8
trangctph07676,PH07676,2,28,1,ph,4
huynqph07678,PH07678,2,27,1,ph,0
tuanpmph07680,PH07680,2,27,14,ph,1
huytqph07681,PH07681,2,29,4,ph,4
minhtqph07683,PH07683,2,27,1,ph,0
thanhnhph07686,PH07686,2,28,14,ph,1
diepbhph07687,PH07687,2,28,1,ph,3
tungltph07688,PH07688,2,27,1,ph,0
kienttph07689,PH07689,2,28,1,ph,2
huydnph07690,PH07690,2,28,3,ph,1
chiendmph07691,PH07691,2,27,1,ph,0
vuongdvph07696,PH07696,2,28,3,ph,1
duydxph07698,PH07698,2,28,3,ph,2
longkvph07701,PH07701,2,28,1,ph,1
hoanglvph07702,PH07702,2,27,14,ph,9
huynhnvph07703,PH07703,2,27,1,ph,0
haibdph07709,PH07709,2,28,14,ph,5
tungthph07714,PH07714,2,28,1,ph,1
hungdsph07715,PH07715,2,27,3,ph,5
longnhph07716,PH07716,2,27,1,ph,0
anhdqhph07718,PH07718,2,28,14,ph,4
quytdph07720,PH07720,2,27,1,ph,0
hantph07724,PH07724,2,27,3,ph,0
dungndmph07726,PH07726,2,30,3,ph,4
cuongcvph07728,PH07728,2,28,1,ph,6
ngocnkph07729,PH07729,2,27,14,ph,1
quangktph07731,PH07731,2,28,14,ph,1
tunaph07734,PH07734,2,27,1,ph,0
hieunnph07735,PH07735,2,27,3,ph,0
thangtvph07738,PH07738,2,28,14,ph,2
dungntph07739,PH07739,2,28,14,ph,1
tiencvph07740,PH07740,2,27,3,ph,0
longvtph07744,PH07744,2,27,14,ph,0
thildph07746,PH07746,2,27,3,ph,0
quyetnvph07750,PH07750,2,28,14,ph,2
toanlvph07751,PH07751,2,33,4,ph,6
duymdph07752,PH07752,2,30,1,ph,1
tuantqph07753,PH07753,2,27,14,ph,2
longdhph07757,PH07757,2,27,14,ph,0
hoangvvph07758,PH07758,2,28,1,ph,2
thudmph07759,PH07759,2,27,14,ph,0
thienndph07761,PH07761,2,27,1,ph,0
khoikbph07763,PH07763,2,28,1,ph,1
thuyntph07764,PH07764,2,27,3,ph,0
kienntph07765,PH07765,2,27,14,ph,0
tungdxph07767,PH07767,2,28,3,ph,3
luandtph07769,PH07769,2,28,3,ph,1
nhattvph07770,PH07770,2,27,1,ph,0
cuongdtph07771,PH07771,2,27,1,ph,0
ductmph07776,PH07776,2,28,1,ph,4
giangtbph07779,PH07779,2,27,14,ph,0
toanncph07780,PH07780,2,27,14,ph,0
sangctph07783,PH07783,2,28,14,ph,1
tunaph07786,PH07786,2,35,4,ph,6
cuongnaph07791,PH07791,2,28,3,ph,1
luongndph07792,PH07792,2,27,1,ph,0
duylmph07801,PH07801,2,28,1,ph,1
manhldph07803,PH07803,2,27,14,ph,0
dungntph07804,PH07804,2,27,3,ph,0
longnhph07805,PH07805,2,27,14,ph,9
lamddph07808,PH07808,2,27,1,ph,0
binhkvph07809,PH07809,2,28,3,ph,2
taidvph07810,PH07810,2,28,3,ph,2
dungpvph07811,PH07811,2,28,14,ph,7
anhldph07813,PH07813,2,28,1,ph,1
phuongttph07814,PH07814,2,27,3,ph,0
tuanvmph07818,PH07818,2,27,3,ph,0
ducdvph07819,PH07819,2,28,14,ph,4
hieuntph07821,PH07821,2,28,1,ph,4
lucbtph07823,PH07823,2,27,3,ph,0
tungnbtph07825,PH07825,2,27,14,ph,0
hoangthph07826,PH07826,2,28,14,ph,1
quynhvnph07828,PH07828,2,27,1,ph,0
thanhntph07829,PH07829,2,27,14,ph,1
tiepnnph07832,PH07832,2,28,1,ph,2
congnvlph07837,PH07837,2,27,3,ph,0
hieunxph07838,PH07838,2,27,14,ph,0
tupvph07839,PH07839,2,27,3,ph,2
tudxph07843,PH07843,2,30,23,ph,3
huypvph07844,PH07844,2,28,14,ph,2
linhpttph07846,PH07846,2,27,1,ph,0
manhdtph07847,PH07847,2,27,1,ph,0
vudaph07848,PH07848,2,28,14,ph,2
quannhph07851,PH07851,2,27,14,ph,0
vyktyph07853,PH07853,2,27,1,ph,0
thaodtph07855,PH07855,2,27,1,ph,0
lystnph07856,PH07856,2,27,1,ph,0
tiennkph07857,PH07857,2,27,14,ph,0
anhptph07858,PH07858,2,28,3,ph,2
ducthph07859,PH07859,2,27,14,ph,0
huynqph07860,PH07860,2,27,14,ph,0
tiencmph07861,PH07861,2,28,1,ph,1
tuannaph07862,PH07862,2,28,3,ph,4
sonnvph07865,PH07865,2,27,14,ph,0
hungtvph07866,PH07866,2,28,14,ph,4
toanldph07867,PH07867,2,27,1,ph,0
yenttph07868,PH07868,2,28,3,ph,1
namhdph07871,PH07871,2,27,1,ph,5
linhnttph07873,PH07873,2,27,14,ph,0
minhncph07877,PH07877,2,28,14,ph,5
thaintph07881,PH07881,2,27,1,ph,0
phuocndph07882,PH07882,2,27,1,ph,0
doanltph07885,PH07885,2,29,3,ph,5
dangvdph07886,PH07886,2,27,3,ph,0
anhnvph07887,PH07887,2,28,1,ph,14
hoangnvph07888,PH07888,2,28,3,ph,3
tuyentvph07889,PH07889,2,27,1,ph,0
hieutmph07892,PH07892,2,28,3,ph,2
vuongltph07893,PH07893,2,28,1,ph,3
dungnvph07894,PH07894,2,28,3,ph,1
truongndph07899,PH07899,2,27,14,ph,0
minhnbph07901,PH07901,2,27,1,ph,0
hieuttph07902,PH07902,2,28,14,ph,3
anhpnph07905,PH07905,2,27,3,ph,0
sonncph07908,PH07908,2,28,1,ph,3
phuongndph07909,PH07909,2,28,14,ph,2
binhpttph07910,PH07910,2,27,1,ph,0
longnhph07911,PH07911,2,28,14,ph,1
phongltph07912,PH07912,2,27,14,ph,1
huytvph07913,PH07913,2,27,1,ph,0
anhpvdph07914,PH07914,2,28,14,ph,1
tuandqph07916,PH07916,2,28,1,ph,1
hailnph07917,PH07917,2,28,1,ph,6
daitqph07924,PH07924,2,28,1,ph,4
huyentdph07926,PH07926,2,28,14,ph,2
tienlaph07928,PH07928,2,27,3,ph,0
thaidaph07929,PH07929,2,28,3,ph,3
thanhpkph07933,PH07933,2,27,1,ph,0
tunbph07943,PH07943,2,28,3,ph,1
hieundph07944,PH07944,2,28,3,ph,1
ducctph07949,PH07949,2,28,1,ph,3
tainnph07953,PH07953,2,27,14,ph,0
tamntph07954,PH07954,2,28,1,ph,1
duclaph07955,PH07955,2,28,14,ph,5
hoannsph07956,PH07956,2,28,1,ph,4
lucntph07957,PH07957,2,27,1,ph,0
namnkph07958,PH07958,2,28,14,ph,4
luongdvhph07960,PH07960,2,28,1,ph,1
nguyennnph07961,PH07961,2,27,1,ph,0
quynhldph07963,PH07963,2,27,1,ph,0
ducnvph07966,PH07966,2,28,1,ph,1
haivdph07968,PH07968,2,28,3,ph,1
nampvph07969,PH07969,2,28,1,ph,4
longlhph07970,PH07970,2,28,14,ph,3
datntph07974,PH07974,2,28,1,ph,4
hiepnnph07976,PH07976,2,28,1,ph,3
thangnvph07979,PH07979,2,28,14,ph,5
hieubmph07980,PH07980,2,28,1,ph,5
longlhph07985,PH07985,2,27,1,ph,0
quangpnph07986,PH07986,2,28,3,ph,1
hieptnph07990,PH07990,2,27,1,ph,1
hungcvph07992,PH07992,2,28,14,ph,3
hungbmph07993,PH07993,2,28,3,ph,2
longntph07997,PH07997,2,28,1,ph,9
khuongnvph07998,PH07998,2,27,3,ph,0
vunaph07999,PH07999,2,28,3,ph,6
huylvph08000,PH08000,2,28,14,ph,2
longndph08002,PH08002,2,27,1,ph,0
thupthph08004,PH08004,2,27,3,ph,0
phuongnhph08008,PH08008,2,27,14,ph,3
thuyvvph08009,PH08009,2,27,14,ph,2
tunkph08011,PH08011,2,28,1,ph,3
namntph08012,PH08012,2,27,3,ph,0
linhnnph08015,PH08015,2,27,1,ph,0
khanhhxph08016,PH08016,2,27,14,ph,0
longtqph08021,PH08021,2,28,1,ph,2
ducmvph08022,PH08022,2,28,1,ph,8
linhnkph08025,PH08025,2,27,1,ph,0
tuyenlvph08027,PH08027,2,28,3,ph,3
tanpmph08028,PH08028,2,27,14,ph,0
hieustph08029,PH08029,2,27,14,ph,0
chiendtph08030,PH08030,2,28,1,ph,2
tuanhvph08031,PH08031,2,28,1,ph,13
namndph08041,PH08041,2,28,1,ph,4
duongttph08042,PH08042,2,27,1,ph,0
bachnqph08043,PH08043,2,28,1,ph,10
vietndph08044,PH08044,2,27,14,ph,0
toanltph08046,PH08046,2,27,14,ph,0
vinhntph08047,PH08047,2,27,14,ph,0
minhnvph08048,PH08048,2,28,1,ph,6
quangtvph08049,PH08049,2,27,3,ph,0
namlhph08053,PH08053,2,27,1,ph,0
tiepdvph08054,PH08054,2,28,3,ph,3
minhntph08063,PH08063,2,27,1,ph,0
tiennkph08064,PH08064,2,27,1,ph,0
diennvph08065,PH08065,2,27,1,ph,0
dongdtph08066,PH08066,2,27,1,ph,0
duongndph08067,PH08067,2,28,14,ph,1
hieubdph08068,PH08068,2,27,14,ph,0
ducntph08069,PH08069,2,27,14,ph,0
thidvph08075,PH08075,2,27,3,ph,0
cuongphph08078,PH08078,2,27,14,ph,0
hanhkhph08082,PH08082,2,27,1,ph,0
datndph08083,PH08083,2,27,14,ph,0
duongtbph08086,PH08086,2,28,1,ph,2
hieupmph08087,PH08087,2,28,1,ph,2
quynhntnph08088,PH08088,2,27,1,ph,0
namlxph08089,PH08089,2,28,14,ph,2
namntph08091,PH08091,2,27,14,ph,0
hungvtph08097,PH08097,2,28,14,ph,1
tuhaph08098,PH08098,2,27,1,ph,0
hieupmph08101,PH08101,2,28,1,ph,3
lancmph08103,PH08103,2,27,1,ph,0
hungltph08107,PH08107,2,28,3,ph,5
binhvdph08109,PH08109,2,27,1,ph,1
phatptph08110,PH08110,2,27,14,ph,3
longptph08112,PH08112,2,28,1,ph,1
vinhldph08113,PH08113,2,27,3,ph,0
kienntph08115,PH08115,2,27,14,ph,3
khanhtqph08117,PH08117,2,28,14,ph,5
chintph08118,PH08118,2,27,14,ph,0
thinhtdph08119,PH08119,2,28,14,ph,6
hieupnph08121,PH08121,2,28,1,ph,2
diepvtph08125,PH08125,2,28,1,ph,4
quoclbph08128,PH08128,2,28,3,ph,1
namnhph08129,PH08129,2,27,1,ph,0
hieulvph08131,PH08131,2,27,14,ph,0
linhnhph08133,PH08133,2,28,1,ph,5
bachnxph08136,PH08136,2,27,1,ph,0
thuantdph08138,PH08138,2,28,3,ph,3
quandmph08139,PH08139,2,28,1,ph,2
tuanncph08140,PH08140,2,27,3,ph,0
