User_Login,User_Code,Up_To_Semester,Term_ID,Major_ID,Campus,Value,Total_Grade,Total_Credit,Average_Grade
chidmph06725,PH06725,2,24,1,ph,1,167.0,23,7.26087
haichph06727,PH06727,2,24,14,ph,1,221.7,30,7.39000
duongtvph06728,PH06728,2,24,1,ph,1,366.1,48,7.62708
dangvhph06729,PH06729,2,24,14,ph,1,226.6,27,8.39259
dungdvph06730,PH06730,2,24,1,ph,1,268.5,30,8.95000
congptph06736,PH06736,2,24,14,ph,1,173.8,25,6.95200
hieumbmph06737,PH06737,2,24,1,ph,1,163.1,23,7.09130
tuanhdph06738,PH06738,2,24,3,ph,1,150.5,27,5.57407
tuyenmtph06741,PH06741,2,24,14,ph,1,197.9,30,6.59667
ductvmph06742,PH06742,2,24,1,ph,1,241.1,29,8.31379
vudmph06744,PH06744,2,24,3,ph,1,114.9,18,6.38333
hieuttph06748,PH06748,2,24,1,ph,1,254.6,30,8.48667
hoahtph06754,PH06754,2,24,3,ph,1,195.4,27,7.23704
trungvdph06755,PH06755,2,24,1,ph,1,277.0,30,9.23333
vanndph06757,PH06757,2,24,14,ph,1,162.2,23,7.05217
tungpnph06758,PH06758,2,24,3,ph,1,161.2,23,7.00870
thanhnkph06759,PH06759,2,24,1,ph,1,261.6,30,8.72000
hoangnqph06760,PH06760,2,24,1,ph,1,210.9,24,8.78750
haitgph06761,PH06761,2,24,14,ph,1,246.3,30,8.21000
hantph06762,PH06762,2,24,3,ph,1,197.6,27,7.31852
thanhtvph06767,PH06767,2,24,1,ph,1,153.5,22,6.97727
locpxph06771,PH06771,2,24,1,ph,1,241.3,29,8.32069
tuanlmph06772,PH06772,2,24,1,ph,1,176.2,27,6.52593
tiennvph06776,PH06776,2,24,14,ph,1,247.3,30,8.24333
nguyenltph06778,PH06778,2,24,14,ph,1,218.9,30,7.29667
vienbqph06781,PH06781,2,24,14,ph,1,226.5,30,7.55000
lultph06782,PH06782,2,24,14,ph,1,196.6,27,7.28148
vuldph06783,PH06783,2,24,1,ph,1,316.4,42,7.53333
namntph06789,PH06789,2,24,1,ph,1,121.7,18,6.76111
thaontph06790,PH06790,2,24,14,ph,1,241.1,30,8.03667
namntph06792,PH06792,2,24,14,ph,1,270.4,29,9.32414
hanhmqph06800,PH06800,2,24,1,ph,1,304.8,42,7.25714
hieubsph06806,PH06806,2,24,3,ph,1,107.1,15,7.14000
cuongdtph06823,PH06823,2,24,1,ph,1,242.9,30,8.09667
giangkhph06825,PH06825,2,24,14,ph,1,189.7,27,7.02593
anhptdph06828,PH06828,2,24,1,ph,1,251.2,30,8.37333
anhnvtph06829,PH06829,2,24,1,ph,1,205.6,26,7.90769
hieptdph06832,PH06832,2,24,1,ph,1,192.3,26,7.39615
thanglvph06835,PH06835,2,24,3,ph,1,182.0,28,6.50000
anhldph06840,PH06840,2,24,14,ph,1,243.1,29,8.38276
quanvtph06842,PH06842,2,24,3,ph,1,203.8,30,6.79333
minhndph06847,PH06847,2,24,14,ph,1,229.4,28,8.19286
anhlhph06848,PH06848,2,24,14,ph,1,251.8,28,8.99286
dungdvph06850,PH06850,2,24,14,ph,1,211.8,25,8.47200
xuanttph06854,PH06854,2,24,1,ph,1,243.7,28,8.70357
thaitph06858,PH06858,2,24,3,ph,1,270.2,31,8.71613
minhndph06860,PH06860,2,24,3,ph,1,186.8,28,6.67143
tunkph06861,PH06861,2,24,1,ph,1,236.8,31,7.63871
huettph06862,PH06862,2,24,1,ph,1,227.6,28,8.12857
dinhtvph06865,PH06865,2,24,14,ph,1,252.8,31,8.15484
tuandmph06869,PH06869,2,24,14,ph,1,238.9,31,7.70645
longhdph06871,PH06871,2,24,14,ph,1,245.1,31,7.90645
chuongdtph06876,PH06876,2,24,3,ph,1,215.9,33,6.54242
luongddph06879,PH06879,2,24,1,ph,1,248.2,31,8.00645
thuyptph06881,PH06881,2,24,1,ph,1,225.2,28,8.04286
oanhptph06883,PH06883,2,24,1,ph,1,92.1,13,7.08462
luongntcph06889,PH06889,2,24,1,ph,1,256.0,28,9.14286
huongltph06890,PH06890,2,24,1,ph,1,234.2,28,8.36429
vulaph06891,PH06891,2,24,1,ph,1,249.4,28,8.90714
hieuvmph06897,PH06897,2,24,1,ph,1,325.4,43,7.56744
truongnqph06901,PH06901,2,24,3,ph,1,226.1,31,7.29355
minhnxph06906,PH06906,2,24,1,ph,1,218.3,28,7.79643
toanpvph06911,PH06911,2,24,3,ph,1,219.7,33,6.65758
quyttph06926,PH06926,2,30,7,ph,1,270.1,42,6.43095
anhmtph06928,PH06928,2,26,14,ph,1,224.7,28,8.02500
hungnlph06932,PH06932,2,26,14,ph,1,209.0,30,6.96667
thuanlbph06934,PH06934,2,26,3,ph,1,241.6,30,8.05333
anhdtph06935,PH06935,2,26,14,ph,1,130.1,21,6.19524
chienptph06936,PH06936,2,26,14,ph,1,209.0,30,6.96667
cuongvdph06938,PH06938,2,26,3,ph,1,249.2,30,8.30667
hunglxph06939,PH06939,2,26,1,ph,1,186.7,27,6.91481
trungpqph06940,PH06940,2,26,14,ph,1,205.9,27,7.62593
hauhdph06941,PH06941,2,26,14,ph,1,242.0,33,7.33333
thanhntph06946,PH06946,2,26,1,ph,1,204.5,30,6.81667
cuongtmph06947,PH06947,2,26,3,ph,1,179.4,21,8.54286
linhtvph06950,PH06950,2,26,14,ph,1,209.1,30,6.97000
tuanlaph06955,PH06955,2,26,3,ph,1,257.2,30,8.57333
anhncph06958,PH06958,2,26,14,ph,1,176.4,24,7.35000
bachdqph06959,PH06959,2,26,1,ph,1,205.0,30,6.83333
vannthph06964,PH06964,2,26,1,ph,1,239.1,30,7.97000
trungptph06967,PH06967,2,26,1,ph,1,225.3,29,7.76897
namnngph06970,PH06970,2,26,1,ph,1,262.6,33,7.95758
tungndph06971,PH06971,2,26,3,ph,1,143.2,19,7.53684
thumvph06974,PH06974,2,26,14,ph,1,221.5,30,7.38333
thanhdvph06975,PH06975,2,26,1,ph,1,225.6,26,8.67692
khanhndph06979,PH06979,2,26,14,ph,1,256.1,33,7.76061
quangnmph06981,PH06981,2,26,14,ph,1,189.0,27,7.00000
haondph06982,PH06982,2,26,3,ph,1,219.7,26,8.45000
thaidhph06986,PH06986,2,26,1,ph,1,275.1,33,8.33636
thanhntph06988,PH06988,2,26,1,ph,1,285.4,33,8.64848
quangndph06990,PH06990,2,26,1,ph,1,253.4,33,7.67879
phuocthph06991,PH06991,2,26,3,ph,1,260.8,33,7.90303
phuocvdph06996,PH06996,2,26,1,ph,1,298.8,33,9.05455
sonltph06997,PH06997,1,26,14,ph,1,81.6,12,6.80000
datnkph06998,PH06998,2,26,1,ph,1,92.2,12,7.68333
quyennxph07000,PH07000,2,29,4,ph,1,279.6,39,7.16923
tulsph07001,PH07001,2,26,1,ph,1,298.4,45,6.63111
phucttph07004,PH07004,2,26,3,ph,1,249.3,33,7.55455
hoanglvph07005,PH07005,2,26,1,ph,1,242.9,36,6.74722
thinhndph07008,PH07008,2,26,14,ph,1,266.5,33,8.07576
quyetkdph07009,PH07009,2,26,1,ph,1,234.1,33,7.09394
trungvtph07014,PH07014,2,26,1,ph,1,228.6,31,7.37419
trungdvph07018,PH07018,2,26,1,ph,1,205.7,30,6.85667
hoangvvph07025,PH07025,2,26,14,ph,1,219.6,30,7.32000
quanvaph07033,PH07033,2,26,3,ph,1,200.5,26,7.71154
lichtdph07034,PH07034,2,26,1,ph,1,240.5,33,7.28788
thangncph07036,PH07036,2,26,1,ph,1,218.2,30,7.27333
thangptph07047,PH07047,2,26,14,ph,1,190.3,27,7.04815
tuanpcph07051,PH07051,2,26,1,ph,1,195.1,28,6.96786
binhvttph07052,PH07052,2,26,14,ph,1,284.6,33,8.62424
hoantkph07054,PH07054,1,26,1,ph,1,69.4,11,6.30909
sonnnph07057,PH07057,2,26,1,ph,1,239.3,33,7.25152
hauntph07061,PH07061,2,26,1,ph,1,225.4,33,6.83030
tuyenpvph07063,PH07063,2,26,14,ph,1,92.4,15,6.16000
hungddph07064,PH07064,2,26,1,ph,1,211.5,30,7.05000
anhhtph07069,PH07069,2,26,1,ph,1,214.0,26,8.23077
chinhtvph07075,PH07075,2,26,14,ph,1,183.1,24,7.62917
giangdtph07076,PH07076,2,26,14,ph,1,244.0,33,7.39394
thanhttph07077,PH07077,2,26,1,ph,1,246.3,33,7.46364
quyenhaph07083,PH07083,1,26,14,ph,1,59.7,9,6.63333
hieuncph07084,PH07084,2,26,1,ph,1,141.0,21,6.71429
hungtvph07085,PH07085,2,26,3,ph,1,222.1,28,7.93214
anhnvph07086,PH07086,2,27,3,ph,1,218.4,30,7.28000
huyhtph07087,PH07087,2,27,3,ph,1,230.8,30,7.69333
ducnaph07089,PH07089,2,27,1,ph,1,195.2,27,7.22963
nguyetntph07092,PH07092,2,27,14,ph,1,166.3,22,7.55909
cuongvmph07095,PH07095,2,27,3,ph,1,92.7,15,6.18000
linhpqph07099,PH07099,2,27,1,ph,1,224.3,30,7.47667
diennvph07101,PH07101,2,27,1,ph,1,248.0,30,8.26667
kiendvph07103,PH07103,2,27,1,ph,1,150.6,21,7.17143
hungtmph07108,PH07108,2,27,14,ph,1,128.4,19,6.75789
hocntph07110,PH07110,2,27,1,ph,1,252.9,37,6.83514
hungnmph07114,PH07114,2,27,1,ph,1,237.5,30,7.91667
duynkph07116,PH07116,2,27,3,ph,1,265.5,30,8.85000
nhungptph07117,PH07117,2,27,3,ph,1,305.2,42,7.26667
hungtdph07120,PH07120,2,27,1,ph,1,232.0,33,7.03030
hongtpph07122,PH07122,2,27,1,ph,1,253.0,30,8.43333
vuongndph07126,PH07126,2,27,14,ph,1,180.1,25,7.20400
vinhvqph07128,PH07128,2,27,3,ph,1,235.4,30,7.84667
vinhnkph07129,PH07129,2,27,1,ph,1,84.5,13,6.50000
anhctph07130,PH07130,2,27,3,ph,1,202.5,27,7.50000
conghtph07131,PH07131,2,27,3,ph,1,215.9,30,7.19667
quannvph07132,PH07132,2,27,1,ph,1,198.1,27,7.33704
quangnvph07133,PH07133,2,27,1,ph,1,228.4,33,6.92121
hoangnvph07134,PH07134,2,27,1,ph,1,280.5,42,6.67857
thuynvph07135,PH07135,2,27,1,ph,1,219.2,27,8.11852
duongdhph07137,PH07137,2,27,1,ph,1,252.4,30,8.41333
lamntph07140,PH07140,2,27,14,ph,1,222.1,28,7.93214
dinhnvph07143,PH07143,2,27,14,ph,1,125.8,19,6.62105
hoangdhph07144,PH07144,2,27,3,ph,1,177.8,31,5.73548
tanlkph07147,PH07147,2,27,1,ph,1,244.5,30,8.15000
tinhddph07152,PH07152,2,27,1,ph,1,225.2,30,7.50667
anhnnph07162,PH07162,2,27,14,ph,1,107.2,16,6.70000
minhdnph07164,PH07164,2,27,3,ph,1,183.5,27,6.79630
anhltph07170,PH07170,2,27,1,ph,1,237.1,30,7.90333
namlvph07173,PH07173,2,27,1,ph,1,207.6,27,7.68889
anhnhph07174,PH07174,2,27,3,ph,1,232.0,30,7.73333
ductnph07175,PH07175,2,27,14,ph,1,259.1,37,7.00270
ducpmph07177,PH07177,2,27,14,ph,1,156.7,22,7.12273
tuannvph07178,PH07178,2,27,14,ph,1,209.7,28,7.48929
loanhttph07179,PH07179,2,27,14,ph,1,146.8,22,6.67273
toanptph07187,PH07187,2,27,1,ph,1,239.8,30,7.99333
hieudvph07188,PH07188,2,27,1,ph,1,204.1,30,6.80333
linhpqph07189,PH07189,2,27,1,ph,1,284.5,36,7.90278
thanhndph07191,PH07191,2,27,1,ph,1,193.8,27,7.17778
thangpxph07193,PH07193,2,27,14,ph,1,187.6,25,7.50400
anhnndph07195,PH07195,2,27,3,ph,1,266.0,39,6.82051
trangdqtph07202,PH07202,2,27,1,ph,1,225.1,29,7.76207
huylqph07203,PH07203,2,27,1,ph,1,218.5,30,7.28333
daonvph07206,PH07206,2,27,14,ph,1,193.2,28,6.90000
daidnph07207,PH07207,2,27,1,ph,1,206.9,30,6.89667
ducpnph07209,PH07209,2,27,1,ph,1,158.4,24,6.60000
hangpvph07211,PH07211,2,27,3,ph,1,213.3,28,7.61786
vietddph07213,PH07213,2,27,1,ph,1,215.3,27,7.97407
hoangnvph07214,PH07214,2,27,3,ph,1,107.2,16,6.70000
thanhndtph07217,PH07217,2,34,7,ph,1,271.7,37,7.34324
duybvph07219,PH07219,2,27,14,ph,1,147.7,22,6.71364
sonntph07222,PH07222,2,27,1,ph,1,184.5,27,6.83333
tienlttph07223,PH07223,2,27,3,ph,1,160.3,25,6.41200
tuanmdaph07233,PH07233,2,27,1,ph,1,211.8,30,7.06000
tuannhph07234,PH07234,2,27,1,ph,1,226.5,30,7.55000
anhttph07235,PH07235,2,27,3,ph,1,210.8,27,7.80741
tulhph07236,PH07236,2,27,3,ph,1,202.3,28,7.22500
hieuntph07237,PH07237,2,27,1,ph,1,133.0,19,7.00000
hoangdvph07241,PH07241,2,27,14,ph,1,174.5,22,7.93182
hahmph07244,PH07244,2,27,1,ph,1,282.0,42,6.71429
namntph07245,PH07245,2,27,14,ph,1,223.8,28,7.99286
quangtdph07246,PH07246,2,27,3,ph,1,113.9,16,7.11875
loanltmph07248,PH07248,2,27,14,ph,1,172.2,25,6.88800
quannvph07250,PH07250,2,27,14,ph,1,216.4,28,7.72857
tiennmph07252,PH07252,2,27,3,ph,1,171.3,25,6.85200
tuyentvph07253,PH07253,2,27,1,ph,1,264.8,36,7.35556
hungndph07257,PH07257,2,27,3,ph,1,161.4,24,6.72500
huongdttph07261,PH07261,2,27,14,ph,1,175.2,25,7.00800
tuyenpvph07265,PH07265,2,27,14,ph,1,134.0,19,7.05263
tuannmph07266,PH07266,2,27,1,ph,1,201.7,28,7.20357
namlvph07267,PH07267,2,27,1,ph,1,187.0,27,6.92593
longhtph07271,PH07271,2,27,3,ph,1,148.5,22,6.75000
hungdnph07273,PH07273,2,27,3,ph,1,190.4,27,7.05185
sontcph07277,PH07277,2,27,3,ph,1,202.5,28,7.23214
trungncph07283,PH07283,2,27,1,ph,1,287.9,36,7.99722
binhtbph07285,PH07285,2,30,7,ph,1,341.4,46,7.42174
thangdqph07297,PH07297,2,27,3,ph,1,166.3,25,6.65200
vuhvph07302,PH07302,2,27,1,ph,1,338.6,45,7.52444
phucnvph07307,PH07307,2,27,3,ph,1,213.0,28,7.60714
quangdhph07309,PH07309,2,27,3,ph,1,194.8,28,6.95714
namndph07316,PH07316,2,29,7,ph,1,210.7,31,6.79677
haihltph07324,PH07324,2,29,7,ph,1,206.1,34,6.06176
phucnhph07325,PH07325,2,29,7,ph,1,205.4,31,6.62581
dungntph07326,PH07326,2,27,3,ph,1,172.1,25,6.88400
phupdph07329,PH07329,2,27,14,ph,1,183.0,25,7.32000
sonthph07331,PH07331,2,30,7,ph,1,203.7,31,6.57097
trungdtph07333,PH07333,2,27,3,ph,1,157.5,25,6.30000
mailvph07340,PH07340,2,27,14,ph,1,206.6,28,7.37857
tannvph07341,PH07341,2,27,14,ph,1,211.7,28,7.56071
dungbmph07343,PH07343,2,29,7,ph,1,202.1,31,6.51935
huytdph07358,PH07358,2,27,14,ph,1,209.8,28,7.49286
khaipvph07362,PH07362,2,27,3,ph,1,218.9,28,7.81786
vinhnbph07366,PH07366,2,27,3,ph,1,214.9,28,7.67500
ducntph07371,PH07371,2,27,3,ph,1,185.3,28,6.61786
minhnhph07372,PH07372,2,27,3,ph,1,202.5,28,7.23214
quangnmph07375,PH07375,2,27,3,ph,1,160.5,25,6.42000
kieuphph07378,PH07378,2,27,3,ph,1,191.4,28,6.83571
giangntph07381,PH07381,2,27,14,ph,1,201.2,28,7.18571
namntph07384,PH07384,2,27,3,ph,1,170.8,25,6.83200
tungbtph07386,PH07386,2,27,3,ph,1,249.6,37,6.74595
thuyntph07387,PH07387,2,27,3,ph,1,164.9,25,6.59600
longhbph07396,PH07396,2,27,14,ph,1,210.7,28,7.52500
truongtxph07400,PH07400,2,27,14,ph,1,169.5,25,6.78000
quangtnph07408,PH07408,1,27,14,ph,1,47.7,7,6.81429
hoangdvph07415,PH07415,2,27,14,ph,1,235.1,28,8.39643
nambvph07421,PH07421,2,27,3,ph,1,189.8,28,6.77857
duyckph07424,PH07424,2,27,3,ph,1,204.7,28,7.31071
dungtdph07431,PH07431,2,27,14,ph,1,246.6,34,7.25294
hungnqph07434,PH07434,2,27,14,ph,1,221.1,28,7.89643
dathtph07435,PH07435,2,27,3,ph,1,165.9,25,6.63600
thaotbph07436,PH07436,2,27,3,ph,1,222.3,28,7.93929
tiennnph07439,PH07439,2,27,14,ph,1,218.5,28,7.80357
nambdph07444,PH07444,2,27,14,ph,1,234.8,28,8.38571
thachnvph07445,PH07445,2,27,14,ph,1,204.7,28,7.31071
huylvph07453,PH07453,2,27,14,ph,1,204.8,28,7.31429
thanglvph07454,PH07454,2,27,3,ph,1,177.2,25,7.08800
linhtqph07455,PH07455,2,27,3,ph,1,131.2,19,6.90526
hieulmph07458,PH07458,2,27,14,ph,1,192.5,28,6.87500
hoannhph07465,PH07465,2,27,14,ph,1,154.4,22,7.01818
thanhnvph07471,PH07471,2,27,3,ph,1,219.4,28,7.83571
sontcph07485,PH07485,2,27,14,ph,1,234.3,28,8.36786
tulaph07486,PH07486,2,27,14,ph,1,118.3,16,7.39375
datnvph07488,PH07488,2,27,3,ph,1,170.1,25,6.80400
hoangddph07490,PH07490,2,27,3,ph,1,213.5,28,7.62500
haidmph07500,PH07500,2,27,14,ph,1,207.7,28,7.41786
dungnvph07501,PH07501,2,27,3,ph,1,188.1,28,6.71786
phuntph07504,PH07504,2,27,14,ph,1,208.7,28,7.45357
longnvph07505,PH07505,2,27,3,ph,1,206.5,28,7.37500
hungndph07506,PH07506,2,27,14,ph,1,216.3,28,7.72500
trungndph07517,PH07517,2,27,14,ph,1,187.9,28,6.71071
maidtph07521,PH07521,2,27,14,ph,1,179.8,25,7.19200
sonpxph07530,PH07530,2,27,14,ph,1,171.6,25,6.86400
hieuptph07533,PH07533,2,27,3,ph,1,205.2,28,7.32857
khaitqph07541,PH07541,2,27,3,ph,1,97.8,15,6.52000
tinhlvph07542,PH07542,2,27,3,ph,1,170.0,25,6.80000
hoangldph07550,PH07550,2,27,14,ph,1,227.4,28,8.12143
cuongncph07551,PH07551,2,27,3,ph,1,196.0,28,7.00000
doannvph07556,PH07556,2,27,1,ph,1,230.7,28,8.23929
hoangtvph07558,PH07558,2,27,1,ph,1,164.1,25,6.56400
haittph07560,PH07560,2,27,1,ph,1,206.9,27,7.66296
vinhnqph07561,PH07561,2,27,3,ph,1,178.6,25,7.14400
quanglxph07563,PH07563,2,27,3,ph,1,230.6,28,8.23571
ngocntph07564,PH07564,2,27,1,ph,1,280.5,39,7.19231
hangntvph07567,PH07567,2,27,1,ph,1,300.9,39,7.71538
xuanntph07568,PH07568,2,27,3,ph,1,179.1,25,7.16400
phuongltph07569,PH07569,2,27,1,ph,1,185.6,27,6.87407
dungvtph07571,PH07571,2,27,14,ph,1,170.4,25,6.81600
tunglvph07572,PH07572,2,27,1,ph,1,261.8,39,6.71282
dungbcph07574,PH07574,2,27,1,ph,1,203.5,30,6.78333
thanhlbph07576,PH07576,2,27,1,ph,1,162.8,24,6.78333
truongntph07580,PH07580,2,27,1,ph,1,182.2,27,6.74815
anlqnph07584,PH07584,2,27,3,ph,1,193.8,28,6.92143
dungpmph07585,PH07585,2,27,3,ph,1,159.9,25,6.39600
longnvph07586,PH07586,2,27,3,ph,1,156.2,22,7.10000
ducdmph07587,PH07587,2,27,14,ph,1,200.8,28,7.17143
lamahph07595,PH07595,2,27,14,ph,1,198.9,28,7.10357
hungnmph07597,PH07597,2,27,14,ph,1,246.5,28,8.80357
manhnsph07598,PH07598,2,27,1,ph,1,219.7,30,7.32333
anhvdph07601,PH07601,2,27,1,ph,1,163.1,24,6.79583
thanhnvph07603,PH07603,2,27,14,ph,1,233.9,28,8.35357
thanhnhph07604,PH07604,2,27,14,ph,1,231.1,28,8.25357
dungavph07607,PH07607,2,27,1,ph,1,237.0,30,7.90000
duhqph07610,PH07610,2,27,14,ph,1,222.9,28,7.96071
anhntph07618,PH07618,2,27,1,ph,1,222.0,30,7.40000
bachlxph07619,PH07619,2,27,1,ph,1,238.8,33,7.23636
vinhntph07621,PH07621,2,27,3,ph,1,190.6,28,6.80714
baclvph07622,PH07622,2,27,1,ph,1,300.3,42,7.15000
quangbvph07624,PH07624,2,27,14,ph,1,224.9,28,8.03214
thanhnbph07628,PH07628,2,27,3,ph,1,220.7,28,7.88214
hieunmph07637,PH07637,2,27,1,ph,1,262.7,37,7.10000
phongpcph07638,PH07638,2,27,3,ph,1,143.0,22,6.50000
thaiphph07639,PH07639,2,27,14,ph,1,241.4,30,8.04667
manhndph07640,PH07640,2,27,3,ph,1,168.8,25,6.75200
ninhdvph07642,PH07642,2,27,3,ph,1,176.5,25,7.06000
truongnxph07646,PH07646,2,27,14,ph,1,213.4,28,7.62143
hangntph07648,PH07648,2,27,3,ph,1,203.4,28,7.26429
truongbxph07651,PH07651,2,27,14,ph,1,230.1,28,8.21786
dungdaph07652,PH07652,2,27,14,ph,1,117.2,16,7.32500
manhndph07653,PH07653,2,27,3,ph,1,207.2,28,7.40000
sonntph07654,PH07654,2,27,1,ph,1,199.5,28,7.12500
annmph07655,PH07655,2,27,1,ph,1,218.1,31,7.03548
toandvph07656,PH07656,2,27,1,ph,1,176.5,25,7.06000
haintph07657,PH07657,2,27,14,ph,1,58.2,9,6.46667
tunhph07665,PH07665,2,27,3,ph,1,189.2,28,6.75714
huanvdph07667,PH07667,2,27,1,ph,1,213.7,27,7.91481
namnpph07668,PH07668,2,27,3,ph,1,138.3,19,7.27895
hoangnhph07670,PH07670,2,27,14,ph,1,82.5,12,6.87500
duongndph07673,PH07673,2,27,1,ph,1,212.4,30,7.08000
huanptph07674,PH07674,1,27,3,ph,1,18.0,3,6.00000
trangctph07676,PH07676,2,27,1,ph,1,245.2,33,7.43030
huynqph07678,PH07678,2,27,1,ph,1,241.9,30,8.06333
tuanpmph07680,PH07680,2,27,14,ph,1,181.9,25,7.27600
huytqph07681,PH07681,2,29,4,ph,1,208.4,31,6.72258
minhtqph07683,PH07683,2,27,1,ph,1,214.6,30,7.15333
thanhnhph07686,PH07686,2,27,14,ph,1,176.1,25,7.04400
diepbhph07687,PH07687,2,27,1,ph,1,248.0,36,6.88889
tungltph07688,PH07688,2,27,1,ph,1,210.7,30,7.02333
kienttph07689,PH07689,2,27,1,ph,1,259.4,39,6.65128
huydnph07690,PH07690,2,27,3,ph,1,170.2,25,6.80800
chiendmph07691,PH07691,2,27,1,ph,1,237.1,30,7.90333
vuongdvph07696,PH07696,2,27,3,ph,1,163.5,25,6.54000
duydxph07698,PH07698,2,27,3,ph,1,138.0,22,6.27273
longkvph07701,PH07701,2,27,1,ph,1,370.6,51,7.26667
hoanglvph07702,PH07702,2,27,14,ph,1,90.9,12,7.57500
huynhnvph07703,PH07703,2,27,1,ph,1,250.8,30,8.36000
haibdph07709,PH07709,2,29,7,ph,1,190.8,28,6.81429
tungthph07714,PH07714,2,27,1,ph,1,187.4,27,6.94074
hungdsph07715,PH07715,2,27,3,ph,1,77.4,12,6.45000
longnhph07716,PH07716,2,27,1,ph,1,233.5,30,7.78333
anhdqhph07718,PH07718,2,29,7,ph,1,215.6,31,6.95484
quytdph07720,PH07720,2,27,1,ph,1,231.3,30,7.71000
hantph07724,PH07724,2,27,3,ph,1,181.6,28,6.48571
dungndmph07726,PH07726,2,27,1,ph,1,159.8,25,6.39200
cuongcvph07728,PH07728,2,27,1,ph,1,194.5,28,6.94643
ngocnkph07729,PH07729,2,27,14,ph,1,169.6,25,6.78400
quangktph07731,PH07731,2,27,14,ph,1,184.5,25,7.38000
tunaph07734,PH07734,2,27,1,ph,1,224.9,30,7.49667
hieunnph07735,PH07735,2,27,3,ph,1,199.9,28,7.13929
thangtvph07738,PH07738,2,27,14,ph,1,153.8,22,6.99091
dungntph07739,PH07739,2,27,14,ph,1,222.6,25,8.90400
tiencvph07740,PH07740,2,27,3,ph,1,200.2,28,7.15000
longvtph07744,PH07744,2,27,14,ph,1,204.1,28,7.28929
thildph07746,PH07746,2,27,3,ph,1,215.9,28,7.71071
quyetnvph07750,PH07750,2,27,14,ph,1,165.7,22,7.53182
