Student_Code,Status,Semester,Major_ID,Campus_Code,Term_ID
PH06926,HDI,2,14,ph,29
PH06932,HDI,2,14,ph,29
PH06934,HDI,2,3,ph,29
PH06935,HDI,2,14,ph,29
PH06936,HDI,2,14,ph,29
PH06938,HDI,2,3,ph,29
PH06939,HDI,2,1,ph,29
PH06940,HDI,2,14,ph,29
PH06946,HDI,2,1,ph,29
PH06947,HDI,2,3,ph,29
PH06950,HDI,2,14,ph,29
PH06955,HDI,2,3,ph,29
PH06958,HDI,2,14,ph,29
PH06959,HDI,2,1,ph,29
PH06964,HDI,2,1,ph,29
PH06967,HDI,2,1,ph,29
PH06970,HDI,2,1,ph,29
PH06971,HDI,2,3,ph,29
PH06974,HDI,2,14,ph,29
PH06975,HDI,2,1,ph,29
PH06979,HDI,2,14,ph,29
PH06981,HDI,2,14,ph,29
PH06982,HDI,2,3,ph,29
PH06986,HDI,2,1,ph,29
PH06988,HDI,2,1,ph,29
PH06990,HDI,2,1,ph,29
PH06991,HDI,2,3,ph,29
PH06996,HDI,2,1,ph,29
PH06997,HDI,2,14,ph,29
PH06998,HDI,2,1,ph,29
PH07000,HDI,2,14,ph,29
PH07001,HDI,2,1,ph,29
PH07004,HDI,2,3,ph,29
PH07008,HDI,2,14,ph,29
PH07009,HDI,2,1,ph,29
PH07014,HDI,2,1,ph,29
PH07018,HDI,2,1,ph,29
PH07025,HDI,2,14,ph,29
PH07033,HDI,2,3,ph,29
PH07034,HDI,2,1,ph,29
PH07036,HDI,2,1,ph,29
PH07047,HDI,2,14,ph,29
PH07051,HDI,2,1,ph,29
PH07052,HDI,2,14,ph,29
PH07054,HDI,2,1,ph,29
PH07057,HDI,2,1,ph,29
PH07061,HDI,2,1,ph,29
PH07063,HDI,2,14,ph,29
PH07064,HDI,2,14,ph,29
PH07069,HDI,2,1,ph,29
PH07075,HDI,2,14,ph,29
PH07076,HDI,2,14,ph,29
PH07077,HDI,2,1,ph,29
PH07083,HDI,2,14,ph,29
PH07084,HDI,2,1,ph,29
PH07085,HDI,2,3,ph,29
PH07086,HDI,1,3,ph,29
PH07087,HDI,1,3,ph,29
PH07089,HDI,1,1,ph,29
PH07092,HDI,1,14,ph,29
PH07095,HDI,1,3,ph,29
PH07099,HDI,1,1,ph,29
PH07101,HDI,1,1,ph,29
PH07103,HDI,1,1,ph,29
PH07108,HDI,1,14,ph,29
PH07110,HDI,1,1,ph,29
PH07114,HDI,1,1,ph,29
PH07116,HDI,1,3,ph,29
PH07122,HDI,1,1,ph,29
PH07126,HDI,1,14,ph,29
PH07128,HDI,1,3,ph,29
PH07129,HDI,1,1,ph,29
PH07130,HDI,1,3,ph,29
PH07131,HDI,1,3,ph,29
PH07132,HDI,1,1,ph,29
PH07134,HDI,1,1,ph,29
PH07135,HDI,1,1,ph,29
PH07137,HDI,1,1,ph,29
PH07140,HDI,1,14,ph,29
PH07143,HDI,1,14,ph,29
PH07144,HDI,1,3,ph,29
PH07147,HDI,1,1,ph,29
PH07152,HDI,1,1,ph,29
PH07162,HDI,1,14,ph,29
PH07164,HDI,1,3,ph,29
PH07170,HDI,1,1,ph,29
PH07173,HDI,1,1,ph,29
PH07174,HDI,1,3,ph,29
PH07177,HDI,1,14,ph,29
PH07178,HDI,1,14,ph,29
PH07179,HDI,1,14,ph,29
PH07187,HDI,1,1,ph,29
PH07188,HDI,1,1,ph,29
PH07191,HDI,1,1,ph,29
PH07193,HDI,1,14,ph,29
PH07195,HDI,1,3,ph,29
PH07202,HDI,1,1,ph,29
PH07203,HDI,1,1,ph,29
PH07206,HDI,1,14,ph,29
PH07209,HDI,1,1,ph,29
PH07213,HDI,1,1,ph,29
PH07214,HDI,1,3,ph,29
PH07217,HDI,1,14,ph,29
PH07219,HDI,1,14,ph,29
PH07222,HDI,1,1,ph,29
PH07223,HDI,1,3,ph,29
PH07233,HDI,1,1,ph,29
PH07234,HDI,1,1,ph,29
PH07235,HDI,1,3,ph,29
PH07236,HDI,1,3,ph,29
PH07237,HDI,1,1,ph,29
PH07241,HDI,1,14,ph,29
PH07244,HDI,1,1,ph,29
PH07245,HDI,1,14,ph,29
PH07248,HDI,1,14,ph,29
PH07250,HDI,1,14,ph,29
PH07252,HDI,1,3,ph,29
PH07257,HDI,1,3,ph,29
PH07261,HDI,1,14,ph,29
PH07265,HDI,1,14,ph,29
PH07266,HDI,1,1,ph,29
PH07267,HDI,1,1,ph,29
PH07271,HDI,1,3,ph,29
PH07273,HDI,1,3,ph,29
PH07277,HDI,1,3,ph,29
PH07285,HDI,1,14,ph,29
PH07297,HDI,1,3,ph,29
PH07307,HDI,1,3,ph,29
PH07309,HDI,1,3,ph,29
PH07326,HDI,1,3,ph,29
PH07329,HDI,1,14,ph,29
PH07331,HDI,1,14,ph,29
PH07333,HDI,1,3,ph,29
PH07340,HDI,1,14,ph,29
PH07341,HDI,1,14,ph,29
PH07358,HDI,1,14,ph,29
PH07362,HDI,1,3,ph,29
PH07366,HDI,1,3,ph,29
PH07371,HDI,1,3,ph,29
PH07372,HDI,1,3,ph,29
PH07375,HDI,1,3,ph,29
PH07378,HDI,1,3,ph,29
PH07381,HDI,1,14,ph,29
PH07384,HDI,1,3,ph,29
PH07386,HDI,1,3,ph,29
PH07387,HDI,1,3,ph,29
PH07396,HDI,1,14,ph,29
PH07400,HDI,1,14,ph,29
PH07408,HDI,1,14,ph,29
PH07415,HDI,1,14,ph,29
PH07421,HDI,1,3,ph,29
PH07424,HDI,1,3,ph,29
PH07434,HDI,1,14,ph,29
PH07435,HDI,1,3,ph,29
PH07436,HDI,1,3,ph,29
PH07439,HDI,1,14,ph,29
PH07444,HDI,1,14,ph,29
PH07445,HDI,1,14,ph,29
PH07453,HDI,1,14,ph,29
PH07454,HDI,1,3,ph,29
PH07455,HDI,1,3,ph,29
PH07458,HDI,1,14,ph,29
PH07465,HDI,1,14,ph,29
PH07471,HDI,1,3,ph,29
PH07485,HDI,1,14,ph,29
PH07486,HDI,1,14,ph,29
PH07488,HDI,1,3,ph,29
PH07490,HDI,1,3,ph,29
PH07500,HDI,1,14,ph,29
PH07501,HDI,1,3,ph,29
PH07504,HDI,1,14,ph,29
PH07505,HDI,1,3,ph,29
PH07506,HDI,1,14,ph,29
PH07517,HDI,1,14,ph,29
PH07521,HDI,1,14,ph,29
PH07530,HDI,1,14,ph,29
PH07533,HDI,1,3,ph,29
PH07541,HDI,1,3,ph,29
PH07542,HDI,1,3,ph,29
PH07550,HDI,1,14,ph,29
PH07551,HDI,1,3,ph,29
PH07556,HDI,1,1,ph,29
PH07558,HDI,1,1,ph,29
PH07560,HDI,1,1,ph,29
PH07561,HDI,1,3,ph,29
PH07563,HDI,1,3,ph,29
PH07564,HDI,1,1,ph,29
PH07568,HDI,1,3,ph,29
PH07569,HDI,1,1,ph,29
PH07571,HDI,1,14,ph,29
PH07574,HDI,1,1,ph,29
PH07576,HDI,1,1,ph,29
PH07580,HDI,1,1,ph,29
PH07584,HDI,1,3,ph,29
PH07585,HDI,1,3,ph,29
PH07586,HDI,1,3,ph,29
PH07587,HDI,1,14,ph,29
PH07595,HDI,1,14,ph,29
PH07597,HDI,1,14,ph,29
PH07598,HDI,1,1,ph,29
PH07601,HDI,1,1,ph,29
PH07603,HDI,1,14,ph,29
PH07604,HDI,1,14,ph,29
PH07607,HDI,1,1,ph,29
PH07610,HDI,1,14,ph,29
PH07618,HDI,1,1,ph,29
PH07621,HDI,1,3,ph,29
PH07624,HDI,1,14,ph,29
PH07628,HDI,1,3,ph,29
PH07637,HDI,1,1,ph,29
PH07638,HDI,1,3,ph,29
PH07639,HDI,1,14,ph,29
PH07640,HDI,1,3,ph,29
PH07642,HDI,1,3,ph,29
PH07646,HDI,1,14,ph,29
PH07648,HDI,1,3,ph,29
PH07651,HDI,1,14,ph,29
PH07652,HDI,1,14,ph,29
PH07653,HDI,1,3,ph,29
PH07654,HDI,1,1,ph,29
PH07656,HDI,1,1,ph,29
PH07667,HDI,1,1,ph,29
PH07668,HDI,1,3,ph,29
PH07670,HDI,1,14,ph,29
PH07673,HDI,1,1,ph,29
PH07674,HDI,1,3,ph,29
PH07678,HDI,1,1,ph,29
PH07680,HDI,1,14,ph,29
PH07683,HDI,1,1,ph,29
PH07686,HDI,1,14,ph,29
PH07688,HDI,1,1,ph,29
PH07690,HDI,1,3,ph,29
PH07691,HDI,1,1,ph,29
PH07696,HDI,1,3,ph,29
PH07698,HDI,1,3,ph,29
PH07701,HDI,1,1,ph,29
PH07702,HDI,1,14,ph,29
PH07703,HDI,1,1,ph,29
PH07714,HDI,1,1,ph,29
PH07715,HDI,1,3,ph,29
PH07716,HDI,1,1,ph,29
PH07720,HDI,1,1,ph,29
PH07724,HDI,1,3,ph,29
PH07726,HDI,1,1,ph,29
PH07729,HDI,1,14,ph,29
PH07731,HDI,1,14,ph,29
PH07734,HDI,1,1,ph,29
PH07735,HDI,1,3,ph,29
PH07738,HDI,1,14,ph,29
PH07739,HDI,1,14,ph,29
PH07740,HDI,1,3,ph,29
PH07744,HDI,1,14,ph,29
PH07746,HDI,1,3,ph,29
PH07750,HDI,1,14,ph,29
PH07752,HDI,1,1,ph,29
PH07757,HDI,1,14,ph,29
PH07758,HDI,1,1,ph,29
PH07759,HDI,1,14,ph,29
PH07761,HDI,1,1,ph,29
PH07763,HDI,1,1,ph,29
PH07764,HDI,1,3,ph,29
PH07765,HDI,1,14,ph,29
PH07767,HDI,1,3,ph,29
PH07769,HDI,1,3,ph,29
PH07770,HDI,1,1,ph,29
PH07771,HDI,1,1,ph,29
PH07779,HDI,1,14,ph,29
PH07780,HDI,1,14,ph,29
PH07783,HDI,1,14,ph,29
PH07791,HDI,1,3,ph,29
PH07792,HDI,1,1,ph,29
PH07801,HDI,1,1,ph,29
PH07803,HDI,1,14,ph,29
PH07804,HDI,1,3,ph,29
PH07808,HDI,1,1,ph,29
PH07809,HDI,1,3,ph,29
PH07810,HDI,1,3,ph,29
PH07811,HDI,1,14,ph,29
PH07813,HDI,1,1,ph,29
PH07814,HDI,1,3,ph,29
PH07818,HDI,1,3,ph,29
PH07823,HDI,1,3,ph,29
PH07825,HDI,1,14,ph,29
PH07826,HDI,1,14,ph,29
PH07828,HDI,1,1,ph,29
PH07829,HDI,1,14,ph,29
PH07832,HDI,1,1,ph,29
PH07837,HDI,1,3,ph,29
PH07838,HDI,1,14,ph,29
PH07839,HDI,1,3,ph,29
PH07843,HDI,1,3,ph,29
PH07844,HDI,1,14,ph,29
PH07846,HDI,1,1,ph,29
PH07847,HDI,1,1,ph,29
PH07848,HDI,1,14,ph,29
PH07851,HDI,1,14,ph,29
PH07853,HDI,1,1,ph,29
PH07855,HDI,1,1,ph,29
PH07856,HDI,1,1,ph,29
PH07857,HDI,1,14,ph,29
PH07858,HDI,1,3,ph,29
PH07859,HDI,1,14,ph,29
PH07860,HDI,1,14,ph,29
PH07861,HDI,1,1,ph,29
PH07862,HDI,1,3,ph,29
PH07865,HDI,1,14,ph,29
PH07867,HDI,1,1,ph,29
PH07868,HDI,1,3,ph,29
PH07871,HDI,1,1,ph,29
PH07873,HDI,1,14,ph,29
PH07881,HDI,1,1,ph,29
PH07882,HDI,1,1,ph,29
PH07885,HDI,1,1,ph,29
PH07886,HDI,1,3,ph,29
PH07888,HDI,1,3,ph,29
PH07889,HDI,1,1,ph,29
PH07894,HDI,1,3,ph,29
PH07899,HDI,1,14,ph,29
PH07901,HDI,1,1,ph,29
PH07902,HDI,1,14,ph,29
PH07905,HDI,1,3,ph,29
PH07909,HDI,1,14,ph,29
PH07910,HDI,1,1,ph,29
PH07911,HDI,1,14,ph,29
PH07912,HDI,1,14,ph,29
PH07913,HDI,1,1,ph,29
PH07914,HDI,1,14,ph,29
PH07916,HDI,1,1,ph,29
PH07926,HDI,1,14,ph,29
PH07928,HDI,1,3,ph,29
PH07929,HDI,1,3,ph,29
PH07933,HDI,1,1,ph,29
PH07943,HDI,1,3,ph,29
PH07944,HDI,1,3,ph,29
PH07953,HDI,1,14,ph,29
PH07954,HDI,1,1,ph,29
PH07955,HDI,1,14,ph,29
PH07956,HDI,1,1,ph,29
PH07957,HDI,1,1,ph,29
PH07960,HDI,1,1,ph,29
PH07961,HDI,1,1,ph,29
PH07963,HDI,1,1,ph,29
PH07966,HDI,1,1,ph,29
PH07968,HDI,1,3,ph,29
PH07970,HDI,1,14,ph,29
PH07985,HDI,1,1,ph,29
PH07986,HDI,1,3,ph,29
PH07990,HDI,1,1,ph,29
PH07992,HDI,1,14,ph,29
PH07993,HDI,1,1,ph,29
PH07998,HDI,1,3,ph,29
PH07999,HDI,1,3,ph,29
PH08000,HDI,1,14,ph,29
PH08002,HDI,1,1,ph,29
PH08004,HDI,1,3,ph,29
PH08008,HDI,1,14,ph,29
PH08009,HDI,1,14,ph,29
PH08012,HDI,1,3,ph,29
PH08015,HDI,1,1,ph,29
PH08016,HDI,1,14,ph,29
PH08021,HDI,1,1,ph,29
PH08025,HDI,1,1,ph,29
PH08027,HDI,1,1,ph,29
PH08028,HDI,1,14,ph,29
PH08029,HDI,1,14,ph,29
PH08030,HDI,1,1,ph,29
PH08042,HDI,1,1,ph,29
PH08044,HDI,1,14,ph,29
PH08046,HDI,1,14,ph,29
PH08047,HDI,1,14,ph,29
PH08049,HDI,1,3,ph,29
PH08053,HDI,1,1,ph,29
PH08054,HDI,1,1,ph,29
PH08063,HDI,1,1,ph,29
PH08064,HDI,1,1,ph,29
PH08065,HDI,1,1,ph,29
PH08066,HDI,1,1,ph,29
PH08067,HDI,1,14,ph,29
PH08068,HDI,1,14,ph,29
PH08069,HDI,1,14,ph,29
PH08075,HDI,1,3,ph,29
PH08078,HDI,1,14,ph,29
PH08082,HDI,1,1,ph,29
PH08083,HDI,1,14,ph,29
PH08087,HDI,1,1,ph,29
PH08088,HDI,1,1,ph,29
PH08089,HDI,1,14,ph,29
PH08091,HDI,1,14,ph,29
PH08097,HDI,1,14,ph,29
PH08098,HDI,1,1,ph,29
PH08101,HDI,1,1,ph,29
PH08103,HDI,1,1,ph,29
PH08107,HDI,1,3,ph,29
PH08109,HDI,1,1,ph,29
PH08110,HDI,1,14,ph,29
PH08112,HDI,1,1,ph,29
PH08113,HDI,1,3,ph,29
PH08115,HDI,1,14,ph,29
PH08117,HDI,1,14,ph,29
PH08118,HDI,1,14,ph,29
PH08119,HDI,1,14,ph,29
PH08125,HDI,1,1,ph,29
PH08128,HDI,1,3,ph,29
PH08129,HDI,1,1,ph,29
PH08131,HDI,1,14,ph,29
PH08133,HDI,1,1,ph,29
PH08136,HDI,1,1,ph,29
PH08138,HDI,1,3,ph,29
PH08139,HDI,1,1,ph,29
PH08140,HDI,1,3,ph,29
PH08143,HDI,1,3,ph,29
PH08144,HDI,1,1,ph,29
PH08147,HDI,1,14,ph,29
PH08157,HDI,1,1,ph,29
PH08160,HDI,1,3,ph,29
PH08161,HDI,1,3,ph,29
PH08166,HDI,1,14,ph,29
PH08167,HDI,1,3,ph,29
PH08168,HDI,1,3,ph,29
PH08169,HDI,1,3,ph,29
PH08173,HDI,1,14,ph,29
PH08186,HDI,1,14,ph,29
PH08187,HDI,1,3,ph,29
PH08189,HDI,1,1,ph,29
PH08192,HDI,1,14,ph,29
PH08193,HDI,1,1,ph,29
PH08198,HDI,1,1,ph,29
PH08201,HDI,1,1,ph,29
PH08202,HDI,1,3,ph,29
PH08203,HDI,1,1,ph,29
PH08204,HDI,1,1,ph,29
PH08205,HDI,1,1,ph,29
PH08206,HDI,1,1,ph,29
PH08210,HDI,1,14,ph,29
PH08211,HDI,1,14,ph,29
PH08213,HDI,1,3,ph,29
PH08214,HDI,1,14,ph,29
PH08216,HDI,1,3,ph,29
PH08220,HDI,1,1,ph,29
PH08236,HDI,1,3,ph,29
PH08238,HDI,1,1,ph,29
PH08241,HDI,1,3,ph,29
PH08244,HDI,1,1,ph,29
PH08247,HDI,1,1,ph,29
PH08252,HDI,1,1,ph,29
PH08256,HDI,1,1,ph,29
PH08261,HDI,1,14,ph,29
PH08262,HDI,1,1,ph,29
PH08263,HDI,1,1,ph,29
PH08264,HDI,1,1,ph,29
PH08265,HDI,1,14,ph,29
PH08269,HDI,1,14,ph,29
PH08274,HDI,1,3,ph,29
PH08275,HDI,1,1,ph,29
PH08280,HDI,1,3,ph,29
PH08281,HDI,1,1,ph,29
PH08284,HDI,1,3,ph,29
PH08285,HDI,1,1,ph,29
PH08286,HDI,1,3,ph,29
PH08287,HDI,1,14,ph,29
PH08288,HDI,1,3,ph,29
PH08292,HDI,1,3,ph,29
PH08293,HDI,1,3,ph,29
PH08294,HDI,1,3,ph,29
PH08296,HDI,1,3,ph,29
PH08301,HDI,1,3,ph,29
PH08303,HDI,1,1,ph,29
PH08304,HDI,1,1,ph,29
PH08306,HDI,1,14,ph,29
PH08312,HDI,1,1,ph,29
PH08313,HDI,1,1,ph,29
PH08316,HDI,1,14,ph,29
PH08317,HDI,1,14,ph,29
PH08320,HDI,1,3,ph,29
PH08321,HDI,1,1,ph,29
PH08334,HDI,1,14,ph,29
PH08335,HDI,1,14,ph,29
PH08341,HDI,1,1,ph,29
PH08343,HDI,1,3,ph,29
PH08348,HDI,1,1,ph,29
PH08350,HDI,1,1,ph,29
PH08354,HDI,1,14,ph,29
PH08355,HDI,1,3,ph,29
PH08357,HDI,1,14,ph,29
PH08359,HDI,1,1,ph,29
PH08363,HDI,1,1,ph,29
PH08364,HDI,1,3,ph,29
PH08365,HDI,1,1,ph,29
PH08366,HDI,1,3,ph,29
PH08370,HDI,1,14,ph,29
PH08372,HDI,1,1,ph,29
PH08378,HDI,1,3,ph,29
PH08379,HDI,1,1,ph,29
PH08381,HDI,1,1,ph,29
PH08385,HDI,1,14,ph,29
PH08389,HDI,1,1,ph,29
PH08391,HDI,1,1,ph,29
PH08392,HDI,1,14,ph,29
PH08393,HDI,1,1,ph,29
PH08400,HDI,1,3,ph,29
PH08403,HDI,1,1,ph,29
PH08406,HDI,1,1,ph,29
PH08407,HDI,1,1,ph,29
PH08411,HDI,1,1,ph,29
PH08413,HDI,1,1,ph,29
PH08418,HDI,1,14,ph,29
PH08420,HDI,1,14,ph,29
PH08422,HDI,1,14,ph,29
PH08423,HDI,1,1,ph,29
PH08425,HDI,1,1,ph,29
PH08433,HDI,1,14,ph,29
PH08434,HDI,1,3,ph,29
PH08436,HDI,1,1,ph,29
PH08437,HDI,1,3,ph,29
PH08444,HDI,1,3,ph,29
PH08447,HDI,1,1,ph,29
PH08448,HDI,1,1,ph,29
PH08450,HDI,1,3,ph,29
PH08451,HDI,1,3,ph,29
PH08457,HDI,1,14,ph,29
PH08459,HDI,1,1,ph,29
PH08461,HDI,1,1,ph,29
PH08467,HDI,1,14,ph,29
PH08470,HDI,1,1,ph,29
PH08473,HDI,1,1,ph,29
PH08474,HDI,1,1,ph,29
PH08475,HDI,1,3,ph,29
PH08477,HDI,1,14,ph,29
PH08480,HDI,1,14,ph,29
PH08483,HDI,1,1,ph,29
PH08492,HDI,1,3,ph,29
PH08494,HDI,1,1,ph,29
PH08496,HDI,1,3,ph,29
PH08497,HDI,1,3,ph,29
PH08498,HDI,1,3,ph,29
PH08499,HDI,1,1,ph,29
PH08507,HDI,1,1,ph,29
PH08513,HDI,1,3,ph,29
PH08522,HDI,1,1,ph,29
PH08523,HDI,1,1,ph,29
PH08525,HDI,1,1,ph,29
PH08526,HDI,1,14,ph,29
PH08527,HDI,1,14,ph,29
PH08528,HDI,1,1,ph,29
PH08530,HDI,1,1,ph,29
PH08535,HDI,1,1,ph,29
PH08536,HDI,1,14,ph,29
PH08549,HDI,1,3,ph,29
PH08550,HDI,1,3,ph,29
PH08552,HDI,1,1,ph,29
PH08567,HDI,1,14,ph,29
PH08570,HDI,1,1,ph,29
PH08571,HDI,1,14,ph,29
PH08576,HDI,1,1,ph,29
PH08577,HDI,1,1,ph,29
PH08578,HDI,1,1,ph,29
PH08579,HDI,1,1,ph,29
PH08581,HDI,1,3,ph,29
PH08594,HDI,1,1,ph,29
PH08595,HDI,1,1,ph,29
PH08603,HDI,1,3,ph,29
PH08609,HDI,1,14,ph,29
PH08610,HDI,1,1,ph,29
PH08611,HDI,1,1,ph,29
PH08612,HDI,1,3,ph,29
PH08622,HDI,1,14,ph,29
PH08623,HDI,1,14,ph,29
PH08630,HDI,1,3,ph,29
PH08635,HDI,1,3,ph,29
PH08643,HDI,1,14,ph,29
PH08645,HDI,1,1,ph,29
PH08649,HDI,1,3,ph,29
PH08650,HDI,1,14,ph,29
PH08651,HDI,1,3,ph,29
PH08656,HDI,1,1,ph,29
PH08659,HDI,1,1,ph,29
PH08660,HDI,1,1,ph,29
PH08661,HDI,1,14,ph,29
PH08662,HDI,1,1,ph,29
PH08667,HDI,1,3,ph,29
PH08668,HDI,1,1,ph,29
PH08670,HDI,1,3,ph,29
PH08677,HDI,1,14,ph,29
PH08681,HDI,1,14,ph,29
PH08685,HDI,1,1,ph,29
PH08689,HDI,1,3,ph,29
PH08690,HDI,1,1,ph,29
PH08692,HDI,1,3,ph,29
PH08696,HDI,1,14,ph,29
PH08698,HDI,1,3,ph,29
PH08705,HDI,1,14,ph,29
PH08712,HDI,1,1,ph,29
PH08714,HDI,1,1,ph,29
PH08716,HDI,1,1,ph,29
PH08719,HDI,1,1,ph,29
PH08720,HDI,1,3,ph,29
PH08722,HDI,1,1,ph,29
PH08724,HDI,1,1,ph,29
PH08727,HDI,1,14,ph,29
PH08728,HDI,1,1,ph,29
PH08731,HDI,1,1,ph,29
PH08736,HDI,1,14,ph,29
PH08737,HDI,1,14,ph,29
PH08738,HDI,1,14,ph,29
PH08742,HDI,1,14,ph,29
PH08745,HDI,1,1,ph,29
PH08749,HDI,1,1,ph,29
PH08751,HDI,1,14,ph,29
PH08752,HDI,1,1,ph,29
PH08753,HDI,1,14,ph,29
PH08757,HDI,1,14,ph,29
PH08759,HDI,1,1,ph,29
PH08763,HDI,1,3,ph,29
PH08764,HDI,1,14,ph,29
PH08765,HDI,1,3,ph,29
PH08768,HDI,1,14,ph,29
PH08769,HDI,1,3,ph,29
PH08770,HDI,1,3,ph,29
PH08771,HDI,1,3,ph,29
PH08772,HDI,1,3,ph,29
PH08777,HDI,1,1,ph,29
PH08782,HDI,1,1,ph,29
PH08783,HDI,1,3,ph,29
PH08785,HDI,1,3,ph,29
PH08786,HDI,1,1,ph,29
PH08787,HDI,1,1,ph,29
PH08789,HDI,1,1,ph,29
PH08790,HDI,1,1,ph,29
PH08799,HDI,1,3,ph,29
PH08801,HDI,1,3,ph,29
PH08803,HDI,1,1,ph,29
PH08804,HDI,1,3,ph,29
PH08806,HDI,1,1,ph,29
PH08807,HDI,1,3,ph,29
PH08817,HDI,1,14,ph,29
PH08820,HDI,1,1,ph,29
PH08827,HDI,1,1,ph,29
PH08831,HDI,1,1,ph,29
PH08839,HDI,1,1,ph,29
PH08840,HDI,1,1,ph,29
PH08845,HDI,1,1,ph,29
PH08847,HDI,1,14,ph,29
PH08851,HDI,1,3,ph,29
PH08855,HDI,1,3,ph,29
PH08859,HDI,1,14,ph,29
PH08861,HDI,1,14,ph,29
PH08862,HDI,1,3,ph,29
PH08863,HDI,1,3,ph,29
PH08873,HDI,1,1,ph,29
PH08878,HDI,1,14,ph,29
PH08879,HDI,1,14,ph,29
PH08881,HDI,1,3,ph,29
PH08882,HDI,1,3,ph,29
PH08886,HDI,1,3,ph,29
PH08895,HDI,1,3,ph,29
PH08898,HDI,1,3,ph,29
PH08900,HDI,1,3,ph,29
PH08901,HDI,1,14,ph,29
PH08906,HDI,1,14,ph,29
PH08908,HDI,1,1,ph,29
PH08913,HDI,1,1,ph,29
PH08917,HDI,1,1,ph,29
PH08923,HDI,1,3,ph,29
PH08929,HDI,1,14,ph,29
PH08930,HDI,1,1,ph,29
PH08933,HDI,1,3,ph,29
PH08939,HDI,1,3,ph,29
PH08940,HDI,1,3,ph,29
PH08941,HDI,1,3,ph,29
PH08951,HDI,1,1,ph,29
PH08961,HDI,1,1,ph,29
PH08965,HDI,1,1,ph,29
PH08970,HDI,1,1,ph,29
PH08976,HDI,1,1,ph,29
PH08977,HDI,1,14,ph,29
PH08978,HDI,1,3,ph,29
PH08983,HDI,1,1,ph,29
PH08985,HDI,1,1,ph,29
PH08987,HDI,1,3,ph,29
PH08988,HDI,1,3,ph,29
PH08990,HDI,1,1,ph,29
PH08993,HDI,1,3,ph,29
PH08995,HDI,1,3,ph,29
PH09002,HDI,1,3,ph,29
PH09003,HDI,1,1,ph,29
PH09004,HDI,1,1,ph,29
PH09009,HDI,1,1,ph,29
PH09010,HDI,1,1,ph,29
PH09011,HDI,1,3,ph,29
PH09014,HDI,1,1,ph,29
PH09016,HDI,1,1,ph,29
PH09018,HDI,1,1,ph,29
PH09019,HDI,1,3,ph,29
PH09021,HDI,1,1,ph,29
PH09023,HDI,1,1,ph,29
PH09025,HDI,1,14,ph,29
PH09026,HDI,1,1,ph,29
PH09027,HDI,1,1,ph,29
